respondent,cohort,EF1,EF2,EF3,EF4,EF5,EF6,TF1,TF2,TF3,TF4,TF5,TF6
35,A,4,3,5,1,2,3,4,3,3,2,4,5
36,A,5,4,5,4,3,5,2,1,2,4,4,2
37,A,5,5,5,4,5,5,5,3,4,5,5,5
38,A,4,2,4,4,4,2,3,2,1,4,5,4
39,A,3,4,5,5,4,2,5,1,5,3,4,4
40,A,5,4,5,3,4,5,4,5,4,4,1,3
41,A,4,5,5,4,5,4,3,3,2,2,2,1
42,A,4,5,5,5,1,4,4,3,5,4,4,3
43,A,1,3,4,5,2,1,5,4,3,3,3,4
44,A,3,3,5,4,2,4,2,2,4,3,2,3
45,A,3,1,5,2,2,3,4,3,4,4,3,3
46,A,4,4,5,2,4,5,4,5,4,4,4,4
47,A,5,5,5,2,4,3,5,5,3,4,4,4
48,A,3,1,5,3,4,2,2,2,3,3,2,1
49,A,5,1,5,4,1,3,1,1,2,1,1,1
50,A,3,3,5,2,3,3,3,4,2,4,3,5
51,A,1,2,4,3,5,3,4,3,4,2,3,3
52,A,4,3,5,1,1,2,1,3,3,3,3,3
53,A,5,4,5,5,4,3,1,1,2,4,1,4
54,A,2,1,4,3,2,3,1,2,3,1,3,2
55,A,4,5,5,3,4,4,4,3,2,4,2,3
56,A,3,2,5,3,4,1,1,2,2,2,2,1
57,A,3,5,5,4,5,4,2,1,2,3,1,2
58,A,4,5,5,2,5,2,3,5,3,5,3,4
59,A,4,4,5,3,2,1,3,1,3,4,3,5
60,A,3,3,5,4,2,4,2,4,3,4,4,2
61,A,4,3,5,4,4,2,1,3,3,5,4,4
62,A,2,2,5,3,2,3,3,4,4,3,1,5
63,A,3,3,5,3,4,4,4,4,4,3,4,4
64,A,4,3,5,5,5,3,4,3,4,4,2,4
65,A,4,4,4,3,5,3,3,5,2,2,5,4
66,A,4,3,4,4,4,3,3,2,3,1,3,2
67,A,4,4,5,5,4,5,5,5,5,5,5,4
68,A,3,3,4,3,2,4,4,1,3,1,4,2
69,A,1,2,5,3,3,3,2,3,3,4,3,3
70,A,1,2,4,2,2,1,2,2,1,1,3,1
71,A,3,5,5,2,3,4,2,4,3,3,4,1
72,A,5,4,5,3,5,5,4,4,4,3,3,5
73,A,3,2,5,5,2,3,3,4,2,3,5,3
74,A,3,2,5,3,1,2,3,1,1,2,1,3
75,A,3,5,5,5,3,2,5,5,4,4,3,2
76,A,4,2,4,1,3,1,2,2,1,1,1,1
77,A,5,3,5,3,3,3,3,2,2,4,3,3
78,A,1,1,4,3,2,1,1,3,1,1,1,3
79,A,5,4,5,3,5,2,2,3,3,5,2,3
80,A,3,4,5,3,3,5,3,4,4,3,3,3
81,A,5,3,5,3,5,3,3,3,4,3,4,4
82,A,1,1,3,4,1,2,1,3,3,4,4,5
83,A,4,3,5,5,5,4,3,4,4,2,3,3
84,A,3,3,5,1,3,2,5,4,4,3,3,2
85,A,2,2,5,3,2,4,1,2,3,1,2,1
86,A,2,3,5,3,4,3,2,3,3,3,1,3
87,A,4,3,5,5,3,2,3,2,4,4,3,2
88,A,3,3,5,4,2,2,4,4,3,3,4,3
89,A,3,2,5,5,2,3,4,1,3,2,5,2
90,A,3,2,4,4,2,2,2,3,3,3,5,1
91,A,5,5,5,3,5,5,4,4,4,4,5,5
92,A,4,4,5,1,4,5,3,3,4,3,2,5
93,A,4,4,5,5,4,4,5,4,5,5,5,5
94,A,1,3,5,3,1,3,3,3,2,1,4,3
95,A,2,4,3,1,3,2,1,1,2,2,3,3
96,A,4,3,4,2,2,3,4,4,4,5,5,3
97,A,2,2,5,2,3,1,1,3,2,4,3,1
98,A,3,3,5,2,2,2,3,4,2,1,4,1
99,A,2,2,5,4,3,3,5,2,3,4,3,2
100,A,3,2,5,4,4,3,2,4,5,3,2,4
101,A,4,3,4,3,4,3,4,3,2,4,2,3
102,A,4,4,5,1,5,4,5,5,5,5,4,5
103,A,3,1,5,5,5,2,3,4,3,3,3,5
104,A,5,3,5,3,5,3,4,4,4,5,5,4
105,A,3,5,5,4,4,5,4,2,3,4,2,3
106,A,4,4,5,2,5,4,5,5,3,5,3,5
107,A,4,4,4,3,2,3,1,2,2,2,1,1
108,A,4,4,5,4,5,3,3,4,2,4,1,3
109,A,3,3,5,3,4,4,2,1,2,4,2,3
110,A,4,5,5,5,2,2,4,4,4,3,4,3
111,A,2,4,5,4,3,5,1,1,1,1,1,1
112,A,3,2,5,2,2,3,2,2,3,2,2,1
113,A,1,2,4,3,3,3,3,5,3,4,5,3
114,A,4,4,5,4,2,2,3,2,4,3,4,5
115,A,5,4,5,4,3,4,4,4,4,5,5,4
116,A,3,2,5,4,3,2,5,5,3,2,4,5
117,A,3,2,5,4,2,3,4,2,4,4,4,3
118,A,3,3,5,3,3,3,3,3,1,2,2,2
119,A,3,2,5,5,3,3,3,4,5,3,3,3
120,A,2,2,5,3,3,2,1,3,3,3,1,1
121,A,3,3,4,4,1,4,3,3,5,3,3,2
122,A,3,1,4,2,2,3,2,4,5,1,5,2
123,A,4,4,5,2,4,4,2,3,3,2,1,1
124,A,5,5,5,3,3,3,4,5,4,3,4,4
125,A,1,3,5,3,2,2,3,4,2,2,3,4
126,A,3,3,5,3,3,3,5,3,5,5,3,4
127,A,4,5,5,5,4,5,4,5,4,4,3,4
128,A,2,3,5,4,3,2,2,4,3,4,2,2
129,A,2,3,5,3,1,2,4,3,2,2,3,2
130,A,5,5,5,4,5,4,4,3,3,5,3,3
131,A,4,4,5,2,4,5,1,1,1,2,2,1
132,A,3,4,5,3,3,5,3,3,3,2,3,2
133,A,4,2,4,3,4,4,4,4,3,3,4,3
134,A,3,4,5,3,3,3,3,3,4,3,3,3
135,A,1,3,5,1,4,2,1,2,2,1,4,1
136,A,5,5,5,5,5,5,4,3,3,5,5,1
137,A,3,4,5,2,2,3,2,3,4,4,2,3
138,A,4,2,5,5,3,4,2,3,3,4,3,2
139,A,2,4,4,3,1,3,5,3,1,4,5,4
140,A,3,4,5,4,4,3,3,2,4,1,1,3
141,A,3,5,5,3,5,5,3,3,5,5,3,5
142,A,2,2,5,4,3,1,1,1,1,3,1,1
143,A,5,3,5,2,4,4,2,1,1,3,1,1
144,A,5,5,5,5,4,4,3,5,5,5,4,4
145,A,4,5,5,3,3,4,3,2,1,3,4,4
146,A,5,5,5,4,5,5,5,5,4,5,5,5
147,A,4,4,5,5,4,4,3,3,2,4,4,2
148,A,4,4,5,5,4,4,3,5,4,4,5,4
149,A,5,4,4,3,2,5,1,2,3,4,3,3
150,A,2,4,5,2,2,1,5,3,3,1,3,4
151,A,3,1,5,4,3,3,3,4,3,3,3,3
152,A,3,4,5,4,5,5,4,3,3,4,4,2
153,A,1,1,5,4,1,3,5,5,2,3,2,3
154,A,4,4,5,5,4,5,2,5,3,5,4,3
155,A,4,4,5,5,3,3,4,3,4,5,4,3
156,A,3,3,5,4,2,3,3,3,5,3,3,2
157,A,5,4,5,3,4,4,2,4,4,5,2,3
158,A,3,4,5,3,2,4,3,3,3,3,4,3
159,A,3,4,5,4,5,4,2,4,2,4,5,2
160,A,4,1,5,1,3,5,2,3,3,2,4,4
161,A,2,1,4,2,2,1,3,2,1,2,1,2
162,A,4,2,5,2,2,4,2,2,2,4,2,2
163,A,4,3,5,4,4,2,2,1,4,2,2,2
164,A,2,3,5,4,4,2,2,1,1,1,3,2
165,A,4,5,5,3,4,3,2,1,2,3,1,1
166,A,2,1,5,1,3,1,2,2,1,1,4,4
167,A,1,4,5,3,3,4,4,4,4,4,5,4
168,A,1,1,3,2,1,2,3,3,3,1,5,3
169,A,4,4,4,4,3,4,3,2,4,4,5,4
170,A,3,3,5,2,4,2,4,5,4,5,3,4
171,A,4,4,5,5,5,3,4,4,4,5,5,3
172,A,2,1,5,2,3,2,3,2,3,3,3,1
173,A,5,3,5,5,3,3,3,4,4,5,3,5
174,A,3,3,3,5,5,1,3,3,2,4,4,1
175,A,5,5,4,3,4,5,3,5,5,5,4,4
176,A,3,2,5,5,2,3,2,3,3,4,3,2
177,A,4,4,5,2,5,4,4,3,5,4,5,5
178,A,2,1,4,1,1,5,2,4,2,3,4,3
179,A,5,5,5,5,5,5,4,4,4,5,5,4
180,A,4,3,4,3,4,4,2,2,4,2,3,4
181,A,3,2,5,3,2,3,2,4,4,2,3,3
182,A,5,3,5,4,4,4,3,3,4,4,3,4
183,A,3,2,4,5,3,3,5,3,5,3,4,4
184,A,2,2,4,2,3,3,3,2,4,3,3,3
185,A,2,2,5,3,2,1,1,1,4,2,2,2
186,A,4,3,3,2,2,3,3,2,2,4,4,4
187,A,3,2,4,4,3,3,1,3,3,3,4,2
188,A,4,4,5,3,3,5,5,5,5,2,3,3
189,A,4,5,5,3,4,4,1,1,1,4,2,1
190,A,3,2,4,2,4,3,4,4,5,4,4,4
191,A,1,1,5,2,5,3,3,5,2,3,4,1
192,A,2,4,4,4,4,4,2,4,3,3,4,3
193,A,1,2,3,2,1,2,2,3,1,2,3,1
194,A,4,3,5,2,3,3,5,5,5,5,3,5
195,A,5,4,5,5,3,5,5,4,3,5,4,4
196,A,2,3,5,5,2,2,4,3,3,4,3,3
197,A,5,5,5,5,2,4,3,4,4,2,3,2
198,A,5,5,5,4,5,5,4,5,5,5,5,5
199,A,4,4,5,3,2,2,2,4,1,5,2,1
200,A,2,4,5,2,3,4,3,2,1,4,4,2
201,B,3,3,4,5,3,2,3,3,4,3,3,3
202,B,3,1,5,2,3,4,3,4,2,1,4,4
203,B,4,4,5,2,3,5,3,4,3,4,2,5
204,B,3,1,4,2,2,3,2,1,2,1,1,3
205,B,3,2,5,2,3,4,5,3,4,4,4,4
206,B,1,3,4,3,3,4,3,2,5,1,4,5
207,B,3,2,5,3,4,1,3,4,4,4,3,2
208,B,4,4,5,4,4,3,3,2,2,2,2,3
209,B,3,3,5,3,3,4,2,5,3,2,2,3
210,B,2,5,5,2,2,4,4,5,3,3,4,5
211,B,3,4,5,3,4,3,2,3,4,4,3,5
212,B,3,4,5,5,5,5,4,3,3,4,5,5
213,B,3,4,5,5,3,4,2,4,3,3,4,4
214,B,2,2,5,2,1,2,3,4,2,1,1,4
215,B,4,4,5,3,2,4,3,3,4,3,4,3
216,B,2,2,5,4,3,3,1,2,1,2,2,1
217,B,3,3,5,4,5,3,2,2,1,3,2,4
218,B,2,3,5,3,2,4,2,3,2,3,2,4
219,B,2,3,5,3,4,1,1,3,1,3,3,1
220,B,3,3,5,2,2,1,4,4,4,3,3,4
221,B,3,2,5,3,3,2,4,4,3,4,2,4
222,B,3,3,5,2,5,3,4,5,5,4,4,5
223,B,4,5,5,1,3,3,3,3,5,3,1,5
224,B,3,3,5,5,2,3,4,3,3,4,5,2
225,B,3,5,5,4,3,4,3,5,4,3,1,4
226,B,2,3,5,1,3,4,3,4,4,4,4,4
227,B,5,4,5,3,3,4,2,5,5,4,3,2
228,B,5,4,5,3,4,4,5,4,5,5,4,5
229,B,3,4,5,2,5,3,4,4,5,5,4,4
230,B,3,3,5,2,3,4,2,2,4,3,3,4
231,B,2,2,5,5,1,3,4,4,4,3,4,4
232,B,2,3,5,2,2,4,5,4,4,4,3,5
233,B,1,4,4,4,1,1,1,3,2,2,4,5
234,B,4,4,5,4,4,3,5,3,5,4,4,3
235,B,4,3,5,4,1,3,3,3,3,2,2,1
236,B,5,5,5,4,4,4,4,4,3,4,4,5
237,B,5,3,5,5,3,5,4,3,3,3,5,5
238,B,3,3,4,2,4,3,4,2,3,2,2,2
239,B,4,4,5,4,2,3,3,5,3,4,3,4
240,B,5,4,5,5,5,4,5,5,5,5,5,5
241,B,2,2,5,4,5,3,2,3,2,3,2,1
242,B,4,5,5,2,5,5,3,2,2,4,4,2
243,B,5,5,5,3,4,2,4,5,4,4,4,2
244,B,2,3,4,3,3,3,1,2,1,1,4,2
245,B,3,1,5,2,2,3,1,1,2,3,3,2
246,B,4,5,5,5,5,5,5,5,5,5,5,4
247,B,4,2,5,3,2,5,4,2,4,5,4,4
248,B,1,2,5,4,2,1,1,2,3,3,4,2
249,B,4,4,5,5,2,4,5,5,5,5,3,4
250,B,1,1,4,1,1,3,3,3,4,3,4,3
251,B,3,4,5,3,4,5,4,4,4,3,3,4
252,B,2,2,5,3,4,2,1,1,1,1,2,1
253,B,4,5,5,2,2,4,4,2,4,3,4,5
254,B,2,2,5,4,3,3,4,5,4,4,5,5
255,B,5,4,5,3,3,4,4,3,2,3,3,5
256,B,1,1,3,3,2,1,3,4,3,3,4,4
257,B,3,2,5,2,3,2,5,4,3,3,4,5
258,B,2,2,4,2,3,1,1,2,3,4,2,5
259,B,3,4,4,4,3,3,3,3,3,2,4,5
260,B,3,1,5,2,3,3,5,4,5,5,4,5
261,B,2,4,5,5,4,3,4,4,5,3,3,5
262,B,2,3,4,3,4,4,1,1,4,3,3,4
263,B,4,2,5,3,4,4,2,4,4,3,2,2
264,B,3,1,5,5,3,1,1,3,3,2,1,2
265,B,1,2,5,2,2,2,2,4,2,1,2,4
266,B,3,3,5,2,4,2,3,3,5,2,4,4
267,B,4,5,5,5,2,5,5,5,4,5,5,4
268,B,3,4,5,4,3,3,5,5,3,4,5,5
269,B,4,2,5,5,2,3,3,5,3,3,1,2
270,B,3,4,5,3,5,3,3,3,5,5,3,5
271,B,3,3,5,3,2,4,4,3,2,4,3,4
272,B,3,2,5,3,4,5,3,3,4,4,2,3
273,B,4,4,5,3,2,4,5,4,3,5,3,3
274,B,2,3,5,3,3,2,2,4,3,2,3,4
275,B,5,5,5,2,5,4,1,2,2,5,3,3
276,B,1,2,3,3,1,4,1,1,2,1,3,1
277,B,3,4,5,4,1,3,2,3,4,4,3,2
278,B,3,1,5,3,1,3,5,5,3,2,4,4
279,B,4,5,5,5,4,5,4,4,5,3,5,3
280,B,3,2,4,4,3,4,4,3,3,2,3,4
281,B,4,1,5,3,4,3,2,5,2,4,3,4
282,B,1,3,3,3,3,3,1,1,3,2,2,3
283,B,5,3,5,2,5,5,5,4,5,3,3,4
284,B,1,3,5,3,2,1,4,2,3,3,1,2
285,B,2,3,5,2,3,2,5,2,1,3,3,4
286,B,4,3,5,5,5,3,5,3,5,5,5,4
287,B,1,3,5,4,1,2,4,2,4,3,4,4
288,B,3,4,5,5,5,4,3,3,2,4,1,5
289,B,2,3,5,1,1,1,4,3,4,3,4,5
290,B,2,2,5,3,5,2,2,1,2,2,1,3
291,B,2,1,4,5,1,2,3,3,3,4,3,3
292,B,3,5,5,3,4,3,4,5,5,5,5,5
293,B,4,5,5,4,4,3,4,3,2,4,3,3
294,B,3,3,5,3,2,4,5,4,5,3,5,3
295,B,3,3,5,3,5,4,5,4,5,3,5,5
296,B,2,1,5,2,3,3,5,5,4,2,5,3
297,B,4,3,3,1,3,4,1,3,4,4,3,4
298,B,4,5,5,4,5,5,4,3,5,5,4,5
299,B,3,1,5,3,3,3,1,1,2,1,2,2
300,B,2,2,5,4,2,2,2,3,2,1,4,4
301,B,5,4,5,3,4,3,1,3,4,5,3,2
302,B,3,3,5,1,3,3,5,5,4,2,3,3
303,B,1,1,5,4,3,1,1,2,2,2,2,2
304,B,2,3,4,1,3,2,3,2,4,2,3,5
305,B,5,5,5,3,3,4,1,4,2,3,3,1
306,B,5,4,5,5,5,5,5,5,2,4,5,4
307,B,3,1,5,3,3,4,3,4,4,2,5,4
308,B,5,4,5,5,5,4,5,3,4,3,5,4
309,B,4,5,5,1,5,2,4,3,3,4,5,2
310,B,3,3,5,3,2,3,2,4,3,3,5,3
311,B,2,1,4,3,1,1,3,3,2,2,2,2
312,B,3,4,5,2,1,2,1,2,4,2,1,5
313,B,5,4,5,3,5,4,3,5,3,3,5,5
314,B,3,1,5,3,5,3,3,3,3,4,2,5
315,B,2,2,5,1,1,3,2,3,3,1,2,3
316,B,2,3,5,3,2,1,4,3,4,4,3,3
317,B,3,1,5,5,3,3,5,4,5,3,3,3
318,B,3,4,5,2,3,2,4,3,2,3,5,4
319,B,4,4,5,5,4,3,3,2,3,4,4,4
320,B,5,4,5,3,5,3,3,2,1,4,3,3
321,B,3,3,5,5,4,5,2,3,1,3,2,4
322,B,5,5,5,4,4,5,5,4,4,5,5,4
323,B,3,5,5,2,1,4,3,4,4,5,2,5
324,B,4,4,5,2,5,4,4,4,4,5,4,3
325,B,5,5,4,5,3,4,5,3,3,3,3,2
326,B,4,5,5,2,5,3,2,2,4,3,4,5
327,B,4,3,4,3,1,1,1,2,1,1,1,1
328,B,3,3,5,3,1,4,4,4,2,4,5,4
329,B,3,3,5,4,2,1,2,1,1,2,1,2
330,B,3,4,4,3,5,5,4,4,1,4,1,3
331,B,2,2,4,3,2,4,2,2,2,4,4,2
332,B,1,2,4,2,3,3,3,2,4,5,3,5
333,B,4,3,5,5,4,4,1,2,2,3,3,2
334,B,3,3,5,4,3,4,3,4,2,3,1,4
335,B,3,5,5,3,2,2,3,2,3,4,2,3
336,B,2,2,5,3,2,3,4,3,1,2,2,3
337,B,1,1,5,2,1,1,2,1,2,1,2,3
338,B,1,2,4,3,1,3,5,4,4,2,2,5
339,B,3,3,5,4,1,3,3,4,5,4,3,5
340,B,2,4,4,2,3,3,3,1,2,1,2,5
341,B,4,4,5,3,4,4,2,3,4,3,1,4
342,B,4,3,5,5,5,5,3,2,4,5,3,3
343,B,3,4,5,5,2,3,1,3,2,2,3,3
344,B,3,4,5,1,2,3,1,1,3,3,2,3
345,B,3,1,3,2,1,3,1,4,2,3,5,4
346,B,3,2,3,3,2,2,2,2,4,4,4,2
347,B,3,4,5,1,3,1,4,3,4,4,3,5
348,B,4,5,5,1,5,5,5,4,3,4,3,4
349,B,2,4,5,4,2,3,5,1,3,4,2,4
350,B,3,2,4,4,2,2,4,3,3,3,4,5
351,B,3,4,4,4,3,2,3,3,3,3,2,3
352,B,3,4,5,5,2,2,4,2,5,5,5,4
353,B,3,3,3,2,2,1,3,2,3,2,1,1
354,B,2,3,5,3,3,4,1,1,3,1,2,3
355,B,4,4,4,3,5,3,4,3,3,5,5,3
356,B,5,1,4,3,3,1,4,4,3,1,4,4
357,B,3,3,5,3,3,4,2,3,3,5,3,3
358,B,4,3,5,3,5,5,4,4,3,4,3,4
359,B,3,3,5,4,3,4,4,2,4,3,4,5
360,B,2,2,5,1,3,3,3,3,4,3,3,5
361,B,3,3,5,2,5,3,4,1,4,4,3,2
362,B,4,4,5,3,2,3,4,4,5,3,4,3
363,B,2,2,4,5,3,1,1,2,2,2,2,2
364,B,2,3,5,4,3,2,4,5,5,4,5,5
365,B,5,5,5,5,4,4,4,4,1,3,2,3
366,B,4,3,5,3,2,2,2,1,4,3,3,2
367,B,3,3,5,5,4,5,1,2,4,4,3,4
368,B,1,1,3,4,2,2,3,2,5,3,3,4
369,B,2,3,4,3,2,3,4,3,3,3,2,2
370,B,4,4,5,4,5,4,1,4,2,1,3,3
371,B,4,4,5,4,2,5,5,4,3,2,3,3
372,B,5,4,5,5,5,3,4,4,4,5,4,4
373,B,2,3,4,2,5,3,2,4,4,1,2,2
374,B,2,3,4,1,2,1,3,2,2,3,3,4
375,B,5,4,5,4,4,4,3,5,3,5,2,3
376,B,1,4,4,5,2,2,4,1,3,1,4,5
377,B,4,4,5,3,2,4,5,5,3,5,5,5
378,B,3,4,5,2,2,3,5,5,4,3,4,4
379,B,3,4,5,2,2,1,3,4,4,1,3,4
380,B,3,2,5,3,3,2,5,3,5,3,3,4
381,B,3,3,4,1,3,2,2,3,3,3,2,3
382,B,3,2,4,4,2,1,4,4,2,3,2,5
383,B,4,2,5,5,4,3,3,4,3,2,3,5
384,B,5,4,5,3,4,3,4,4,5,4,4,4
385,B,3,5,5,3,5,5,4,3,4,4,4,3
386,B,2,4,4,3,3,5,2,2,2,2,1,4
387,B,5,4,5,5,3,5,3,3,4,3,4,5
388,B,4,5,5,2,3,4,3,5,4,5,2,4
389,B,3,3,5,3,2,4,2,3,3,5,4,2
390,B,4,5,5,4,3,2,3,3,4,5,5,5
391,B,3,3,5,3,5,4,5,2,2,4,3,5
392,B,4,3,5,3,4,2,4,4,4,4,3,4
393,B,4,3,4,2,2,4,3,1,2,3,4,2
394,B,3,5,5,3,3,3,5,3,2,2,4,4
395,B,4,2,5,3,1,4,4,4,4,3,4,5
396,B,4,4,5,3,4,5,3,5,5,2,3,5
397,B,4,5,5,3,2,3,4,4,3,3,4,4
398,B,3,2,4,3,4,2,2,4,1,1,3,2
399,B,1,4,5,4,3,3,4,5,5,5,5,3
400,B,2,1,4,3,2,3,3,3,3,2,4,3
